Variant name,own_driveway_percentage
Netherlands_urban_car_2030,0.1
Netherlands_semiurban_car_2030,0.6
Netherlands_rural_car_2030,0.9
Netherlands_urban_car_2050,0.1
Netherlands_semiurban_car_2050,0.6
Netherlands_rural_car_2050,0.9
