URI,Label,Definition,Notation,Status,AcceptedDate
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/EFUEL,E-fuels,,EFUEL,valid,04/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW_LT10,Solar photovoltaic (< 10 kW),,RA420KW_LT10,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW_LT10_RT,"Solar photovoltaic (< 10 kW, roof top)",,RA420KW_LT10_RT,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW_LT10_OG,"Solar photovoltaic (< 10 kW, Off grid)",,RA420KW_LT10_OG,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW_LT30,Solar photovoltaic (< 30 kW),,RA420KW_LT30,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW_LT30_RT,"Solar photovoltaic (< 30 kW, roof top)",,RA420KW_LT30_RT,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW_LT30_OG,"Solar photovoltaic (< 30 kW, Off grid)",,RA420KW_LT30_OG,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW30-1000,Solar photovoltaic (30 kW - 1000 kW),,RA420KW30-1000,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW30-1000_RT,"Solar photovoltaic (30 kW - 1000 kW, roof top)",,RA420KW30-1000_RT,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420KW30-1000_OG,"Solar photovoltaic (30 kW - 1000 kW, Off grid)",,RA420KW30-1000_OG,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420MW_GT1_RT,"Solar photovoltaic (1+ MW, roof top)",,RA420MW_GT1_RT,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/RA420MW_GT1_OG,"Solar photovoltaic (1+ MW, Off grid)",,RA420MW_GT1_OG,valid,12/07/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/H8000D,Derived heat and district heating,,H8000D,valid,28/08/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5140_5141,Black liquor and crude tall oil,,R5140_5141,valid,11/09/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5141,Crude tall oil,,R5141,valid,11/09/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/R5159,Other agricultural biomass,,R5159,valid,11/09/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/E7101,Electricity - renewable - direct connection line,,E7101,valid,23/11/2023
http://dd.eionet.europa.eu/vocabulary/eurostat/siec/E7102,Electricity - renewable - grid,,E7102,valid,23/11/2023
