Time Tag,home,work,leisure,weekend,holiday
2019-12-31 05:00:00,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666
2019-12-31 06:00:00,0.8217278985630586,0.0,0.010212782597841754,0.0,0.16666666666666666
2019-12-31 07:00:00,0.6435686957995578,0.12491532599491957,0.021818217368116472,0.0,0.16666666666666666
2019-12-31 08:00:00,0.3078429737289317,0.41638441998306525,0.02321086954054944,0.0,0.16666666666666666
2019-12-31 09:00:00,0.14402344613276605,0.6245766299745978,0.020657673921727352,0.0,0.16666666666666666
2019-12-31 10:00:00,0.14692480479051842,0.6662150719729043,0.01775631526397498,0.0,0.16666666666666666
2019-12-31 11:00:00,0.14757935130370733,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2019-12-31 12:00:00,0.14762113086837897,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2019-12-31 13:00:00,0.14762113086837897,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2019-12-31 14:00:00,0.14762113086837897,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2019-12-31 15:00:00,0.14762113086837897,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2019-12-31 16:00:00,0.24130762536456865,0.5412997459779847,0.017408152225044694,0.0,0.16666666666666666
2019-12-31 17:00:00,0.49113827735440785,0.249830651989839,0.017408152225044694,0.0,0.16666666666666666
2019-12-31 18:00:00,0.692858879598269,0.04163844199830641,0.04142408152225045,0.0,0.16666666666666666
2019-12-31 19:00:00,0.7033602202700161,-1.1102230246251565e-16,0.10874145909775144,0.0,0.16666666666666666
2019-12-31 20:00:00,0.6470589160551323,-1.1102230246251565e-16,0.17618012924546053,0.0,0.16666666666666666
2019-12-31 21:00:00,0.6526384955075738,-1.1102230246251565e-16,0.1738574154435977,0.0,0.16666666666666666
2019-12-31 22:00:00,0.720431461096999,-1.1102230246251565e-16,0.10341542007714744,0.0,0.16666666666666666
2019-12-31 23:00:00,0.7898192157070281,-1.1102230246251565e-16,0.035296138512559985,0.0,0.16666666666666666
2020-01-01 00:00:00,0.8238676609982125,-1.1102230246251565e-16,0.00594333603819739,0.0,0.16666666666666666
2020-01-01 01:00:00,0.8322999206181203,-1.1102230246251565e-16,0.0003638777166243331,0.0,0.16666666666666666
2020-01-01 02:00:00,0.8332896680073385,-1.1102230246251565e-16,3.0899761915836876e-18,0.0,0.16666666666666666
2020-01-01 03:00:00,0.8333333333333334,-1.1102230246251565e-16,3.0899761915836876e-18,0.0,0.16666666666666666
2020-01-01 04:00:00,0.8333333333333334,-1.1102230246251565e-16,3.0899761915836876e-18,0.0,0.16666666666666666
2020-01-01 05:00:00,0.8333333333333334,-1.1102230246251565e-16,3.0899761915836876e-18,0.0,0.16666666666666666
2020-01-01 06:00:00,0.8217278985630586,-1.1102230246251565e-16,0.010212782597841757,0.0,0.16666666666666666
2020-01-01 07:00:00,0.6435686957995578,0.12491532599491946,0.021818217368116476,0.0,0.16666666666666666
2020-01-01 08:00:00,0.3078429737289317,0.41638441998306513,0.02321086954054944,0.0,0.16666666666666666
2020-01-01 09:00:00,0.14402344613276605,0.6245766299745977,0.020657673921727352,0.0,0.16666666666666666
2020-01-01 10:00:00,0.14692480479051842,0.6662150719729043,0.01775631526397498,0.0,0.16666666666666666
2020-01-01 11:00:00,0.14757935130370733,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2020-01-01 12:00:00,0.14762113086837897,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2020-01-01 13:00:00,0.14762113086837897,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2020-01-01 14:00:00,0.14762113086837897,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2020-01-01 15:00:00,0.14762113086837897,0.6662150719729043,0.017408152225044694,0.0,0.16666666666666666
2020-01-01 16:00:00,0.24130762536456865,0.5412997459779847,0.017408152225044694,0.0,0.16666666666666666
2020-01-01 17:00:00,0.49113827735440785,0.249830651989839,0.017408152225044694,0.0,0.16666666666666666
2020-01-01 18:00:00,0.692858879598269,0.04163844199830641,0.04142408152225045,0.0,0.16666666666666666
2020-01-01 19:00:00,0.7033602202700161,-1.1102230246251565e-16,0.10874145909775144,0.0,0.16666666666666666
2020-01-01 20:00:00,0.6470589160551323,-1.1102230246251565e-16,0.17618012924546053,0.0,0.16666666666666666
2020-01-01 21:00:00,0.6526384955075738,-1.1102230246251565e-16,0.1738574154435977,0.0,0.16666666666666666
2020-01-01 22:00:00,0.720431461096999,-1.1102230246251565e-16,0.10341542007714744,0.0,0.16666666666666666
2020-01-01 23:00:00,0.7898192157070281,-1.1102230246251565e-16,0.035296138512559985,0.0,0.16666666666666666
2020-01-02 00:00:00,0.8238676609982125,-1.1102230246251565e-16,0.00594333603819739,0.0,0.16666666666666666
2020-01-02 01:00:00,0.8322999206181203,-1.1102230246251565e-16,0.0003638777166243331,0.0,0.16666666666666666
2020-01-02 02:00:00,0.8332896680073385,-1.1102230246251565e-16,3.0899761915836876e-18,0.0,0.16666666666666666
2020-01-02 03:00:00,0.8333333333333334,-1.1102230246251565e-16,3.0899761915836876e-18,0.0,0.16666666666666666
2020-01-02 04:00:00,0.8333333333333334,-1.1102230246251565e-16,3.0899761915836876e-18,0.0,0.16666666666666666
2020-01-02 05:00:00,0.8333333333333334,-1.1102230246251565e-16,3.0899761915836876e-18,0.0,0.16666666666666666
2020-01-02 06:00:00,0.8217278985630586,-1.1102230246251565e-16,0.010212782597841757,0.0,0.16666666666666666
